,code,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Original_Nutriscore,Predicted_Nutriscore_ML
197,3350033531512.0,538.0,20.0,42.0,7.2,7.3,0.27,10.3,e,e
198,3350033531529.0,640.0,9.3,36.0,5.2,9.0,0.05,0.0,d,d
199,3350033663381.0,409.0,5.0,17.0,10.0,11.0,0.0,0.0,c,c
200,3350033706378.0,473.0,7.5,36.0,3.4,5.8,0.25,15.0,d,d
201,3350033871540.0,619.0,9.2,30.0,6.4,9.3,0.02,0.0,d,d
202,3350000000000.0,403.0,6.5,9.79,8.26,11.42,0.029,0.0,c,c
203,3370077581403.0,520.0,19.9,39.4,5.1,6.5,0.12,0.0,e,e
204,3370077582233.0,582.0,23.5,47.2,2.1,9.4,0.31,0.0,e,e
205,3370077586361.0,578.0,25.0,46.5,0.0,6.1,1.05,0.0,e,e
206,3372900001157.0,348.0,15.0,18.0,0.0,8.0,0.31,0.0,d,d
207,3372900900054.0,348.0,15.0,18.0,0.0,8.0,0.31,0.0,d,d
208,3372900901730.0,348.0,15.0,18.0,0.0,8.0,0.31,0.0,d,d
209,3380380037399.0,407.0,5.26,10.0,8.6,10.8,0.098,0.0,c,c
210,3380380092299.0,486.0,9.0,24.0,4.5,6.5,0.3,8.1,d,d
211,3385050000505.0,281.0,3.0,31.0,0.4,5.5,0.9,0.0,d,d
212,3380000000000.0,407.0,5.26,10.0,8.6,10.8,0.098,0.0,c,c
213,3396410024130.0,580.0,28.0,24.0,11.0,7.0,0.0254,0.0,d,d
214,3396410151430.0,380.0,1.0,34.0,3.6,6.7,0.5,0.0,c,c
215,3396410151447.0,380.0,0.5,36.0,3.0,7.0,0.375,0.0,c,c
216,3396411219948.0,491.0,15.60000038,25.20000076,4.9,5.699999809,0.02999999933,0.0,d,d
217,3396411220760.0,478.0,14.0,21.6,6.3,6.8,0.025,0.0,d,d
218,3396411223464.0,391.0,2.9,7.4,3.8,9.7,0.4,0.0,a,a
219,3396411236235.0,571.0,26.0,29.0,11.0,8.7,0.02,0.0,d,d
220,3396413714410.0,570.0,17.0,42.5,6.0,6.0,0.0254,19.874,e,e
221,3419390405390.0,388.0,9.7,14.0,3.1,7.4,0.8,0.0,d,d
222,3421557102134.0,404.0,2.0,21.1,9.3,8.6,0.02,7.0,b,b
223,3421557106064.0,416.0,6.1,12.0,9.0,10.0,0.16,0.0,c,c
224,3421557108136.0,440.0,3.4,24.0,7.2,9.2,0.06,0.0,c,c
225,3421557110214.0,445.0,5.7,20.0,8.2,9.2,0.07,0.0,c,c
226,3421557110221.0,456.0,4.0,22.0,6.8,8.7,0.05,0.0,c,c
227,3421557110313.0,442.0,2.4,18.0,7.6,9.0,0.01,0.0,b,b
228,3421557110344.0,415.0,5.2,21.7,7.6,9.0,0.1,0.0,c,c
229,3421557111747.0,412.0,4.4,12.0,12.0,11.0,0.02,0.0,c,c
230,3421557500923.0,373.0,0.8,19.0,4.9,9.3,0.03,0.0,a,b
231,3421557501470.0,408.0,4.9,9.0,5.5,10.0,0.85,0.0,c,c
232,3421557501685.0,445.0,5.7,20.0,8.2,9.2,0.07,0.0,c,c
233,3421557501883.0,427.0,3.0,19.0,8.2,10.0,0.05,0.0,c,b
234,3421557501975.0,420.0,4.0,23.0,7.0,8.4,0.05,0.0,c,c
235,3421557502477.0,456.0,4.0,22.0,6.8,8.7,0.05,0.0,c,c
236,3421557502583.0,378.0,2.0,17.0,7.9,13.0,0.04,0.0,a,b
237,3421557502767.0,415.0,6.1,12.0,8.6,10.0,0.16,0.0,c,c
238,3421557502774.0,445.0,5.7,20.0,8.2,9.2,0.07,0.0,c,c
239,3421557508677.0,445.0,5.7,20.0,8.2,9.2,0.07,0.0,c,c
240,3421557600050.0,577.0,24.1,44.5,2.5,5.9,0.36,0.0,e,e
241,3421557600074.0,576.0,27.4,26.8,10.1,7.9,0.04,0.0,d,d
242,3421557600081.0,550.0,25.2,20.8,11.8,9.0,0.02,0.0,d,d
243,3421557600098.0,569.0,22.9,45.2,2.3,6.2,0.41,0.0,e,e
244,3421557600104.0,588.0,24.2,22.3,11.5,9.4,0.03,13.2,d,d
245,3421557602047.0,504.0,15.0,25.0,3.9,8.5,0.15,0.0,d,d
246,3421557602054.0,491.0,16.0,18.0,6.2,8.4,0.05,0.0,d,d
247,3421557904059.0,471.0,13.7,15.6,5.7,7.5,0.03,0.0,d,d
248,3421557904127.0,504.0,15.0,25.0,3.0,8.5,0.15,0.0,d,d
249,3421557904134.0,483.0,15.0,18.0,6.9,8.5,0.05,0.0,d,d
250,3421557904141.0,495.0,17.0,17.0,7.1,7.9,0.06,0.0,d,d
251,3421557904158.0,512.0,16.0,27.0,2.8,7.8,0.17,0.0,e,e
