code,name,quantity,brands,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Nutriscore,Nutriscore_point
3.245412997952E12,Galettes de riz nappées chocolat noir,100,"Carrefour, Carrefour Bio",479.0,14.0,22.0,6.3,6.8,0.0,0.0,d,14.0
3.250391282869E12,Toasts riz au chocolat noir BIO,100,Regain,511.0,15.0,29.1,3.9,7.1,0.09,0.0,d,18.0
3.250391460274E12,Céréales crispy choc chocolaté,375,Chabrior,391.0,1.2,28.5,3.5,6.6,0.42,0.0,c,9.0
3.250391650743E12,Céréales Soufflées au Chocolat,375,Netto,387.0,1.4,28.0,4.9,7.1,0.39,0.0,c,7.0
3.250391774029E12,Muesli croustillant au chocolat,500,Chabrior,461.0,6.3,21.1,8.5,8.4,0.01,0.0,c,10.0
3.25039205751E12,Galettes maïs au chocolat noir BIO,100,Regain,497.0,14.0,25.0,5.2,7.3,0.01,0.0,d,16.0
3.250392129811E12,Riz soufflé chocolaté,500,Netto,392.0,1.4,28.6,3.1,6.6,0.4,0.0,c,9.0
3.250392488598E12,Toasts de riz chocolat au lait bio,100.0,Regain,511.0,15.0,29.1,3.9,7.1,0.09,0.0,d,18.0
3.250392493769E12,L'essentiel - céréales billes chocolatées,375,"Chabrior,Intermarché",385.0,1.3,24.3,2.2,8.6,0.06,0.0,c,3.0
3.250392550707E12,Petits pots de crème au chocolat,200,Pâturages,176.0,5.7,15.0,2.8,5.4,0.12,0.0,c,5.0
3.250392551339E12,Mousse au chocolat noir,280,Pâturages,322.0,12.7,23.8,4.7,8.6,0.19,0.0,d,15.0
3.250392614959E12,Céréales fourrées chocolat noisette bio,375,chabrior,434.0,2.6,28.5,7.8,9.9,0.34,0.0,c,9.0
3.251514251007E12,Fondant au chocolat,470.0,"Marie,Boncolac",390.0,13.0,33.0,3.2,6.4,0.1,0.0,d,18.0
3.251516307009E12,Tartelettes Chocolat Framboise,200,U,422.0,13.0,29.0,3.0,5.9,0.08,0.0,d,18.0
3.252920033508E12,Lait Chocolaté bio et équitable,20.0,Grandeur nature,65.0,0.76,10.4,0.0,3.43,0.08,0.0,b,0.0
3.252920038411E12,Cœur fondant au chocolat,180.0,Grandeur Nature,364.0,13.6,22.9,2.9,6.4,0.11,0.0,d,16.0
3.25292003947E12,Mousse au chocolat noir,350,grandeur nature,348.0,15.1,18.0,1.0,8.0,0.31,0.0,d,17.0
3.254560018037E12,Cao Flakes au chocolat,375,"Rik & Rok,Auchan",380.0,1.0,26.0,6.5,9.0,0.5,0.0,c,6.0
3.254560609907E12,ChocoCrack,375,Auchan,384.0,1.0,30.0,2.9,6.5,0.45,0.0,c,8.0
3.255650080194E12,Tassiopée,96.0,Tassiopée,471.0,11.3,31.2,5.9,8.3,0.04,0.0,d,17.0
